ageban,WEIGHT,northeast,south,midwest,female,white,nonwhite,hsgrad,somecoll,colgrad,idR,idD,idI,survey,year,stname,monthst,dayst,monthend,dayend
50-64,.79212701,0,0,1,0,0,1,1,0,0,0,1,0,2017-31116496,2016,Illinois,8,4,10,2
65+,.49447244,0,0,1,0,1,0,1,1,0,0,1,0,2017-31116496,2016,Missouri,8,4,10,2
65+,.78664988,1,0,0,0,0,1,1,1,0,0,1,0,2017-31116496,2016,Pennsylvania,8,4,10,2
65+,2.8390048,0,1,0,1,0,1,0,0,0,0,1,0,2017-31116496,2016,Texas,8,4,10,2
50-64,.65681291,0,1,0,1,1,0,1,1,1,0,0,1,2017-31116496,2016,Oklahoma,8,4,10,2
50-64,1.1936036,0,1,0,0,1,0,1,0,0,0,1,0,2017-31116496,2016,Virginia,8,4,10,2
65+,.20393097,1,0,0,0,1,0,1,1,1,0,1,0,2017-31116496,2016,Massachusetts,8,4,10,2
65+,.71872318,0,0,1,1,1,0,1,0,0,1,0,0,2017-31116496,2016,Michigan,8,4,10,2
30-49,1.1099912,0,1,0,0,1,0,1,1,0,0,0,1,2017-31116496,2016,Texas,8,4,10,2
30-49,1.1243886,0,0,1,1,1,0,1,1,1,0,1,0,2017-31116496,2016,Michigan,8,4,10,2
30-49,2.263051,0,1,0,1,1,0,1,1,1,0,0,1,2017-31116496,2016,Virginia,8,4,10,2
65+,.61679053,0,1,0,0,1,0,0,0,0,.a,.a,.a,2017-31116496,2016,Arkansas,8,4,10,2
65+,.60449988,1,0,0,1,1,0,1,0,0,1,0,0,2017-31116496,2016,New York,8,4,10,2
30-49,1.0821036,0,1,0,1,1,0,1,1,1,1,0,0,2017-31116496,2016,Virginia,8,4,10,2
.a,.37277481,0,0,1,.a,1,0,1,1,1,0,0,1,2017-31116496,2016,Ohio,8,4,10,2
65+,.38099599,0,1,0,1,1,0,1,1,0,1,0,0,2017-31116496,2016,Texas,8,4,10,2
18-29,3.5420895,0,1,0,1,0,1,1,0,0,0,0,0,2017-31116496,2016,Texas,8,4,10,2
65+,1.0309622,0,0,1,0,1,0,1,0,0,0,0,1,2017-31116496,2016,Indiana,8,4,10,2
30-49,1.1296812,0,0,1,1,1,0,1,1,0,0,0,1,2017-31116496,2016,Michigan,8,4,10,2
30-49,5.4078941,1,0,0,0,0,1,1,0,0,.a,.a,.a,2017-31116496,2016,Pennsylvania,8,4,10,2
30-49,.38031939,1,0,0,1,1,0,1,1,1,0,0,1,2017-31116496,2016,New York,8,4,10,2
.a,2.028635,0,0,1,1,1,0,1,1,0,1,0,0,2017-31116496,2016,Illinois,8,4,10,2
65+,.38689789,0,0,1,0,1,0,1,1,0,1,0,0,2017-31116496,2016,Illinois,8,4,10,2
50-64,2.6007326,0,0,0,1,1,0,1,0,0,0,1,0,2017-31116496,2016,Washington,8,4,10,2
18-29,5.5804462,0,0,0,1,1,0,1,0,0,0,0,1,2017-31116496,2016,Oregon,8,4,10,2
18-29,1.5805137,0,0,0,0,1,0,1,1,1,0,0,0,2017-31116496,2016,Utah,8,4,10,2
30-49,1.2523894,0,1,0,0,0,1,1,1,1,0,1,0,2017-31116496,2016,Texas,8,4,10,2
30-49,.78855461,0,0,1,0,1,0,1,1,1,0,0,1,2017-31116496,2016,Minnesota,8,4,10,2
50-64,.67723674,0,1,0,1,0,1,1,1,0,0,1,0,2017-31116496,2016,South Carolina,8,4,10,2
30-49,.93092203,0,0,1,0,0,1,1,1,0,0,1,0,2017-31116496,2016,Illinois,8,4,10,2
50-64,.20393097,1,0,0,0,1,0,1,1,1,0,1,0,2017-31116496,2016,New York,8,4,10,2
65+,.76369423,0,1,0,0,0,1,1,1,0,0,1,0,2017-31116496,2016,Maryland,8,4,10,2
50-64,.84790403,0,0,1,1,1,0,1,0,0,0,1,0,2017-31116496,2016,Ohio,8,4,10,2
50-64,.20393097,0,0,1,0,1,0,1,1,1,0,1,0,2017-31116496,2016,Minnesota,8,4,10,2
50-64,.46181604,0,0,1,0,1,0,1,1,1,1,0,0,2017-31116496,2016,Minnesota,8,4,10,2
50-64,.57091212,0,1,0,1,1,0,1,1,1,0,1,0,2017-31116496,2016,Maryland,8,4,10,2
30-49,1.1307377,0,1,0,0,1,0,1,1,0,1,0,0,2017-31116496,2016,Georgia,8,4,10,2
65+,.3154189,0,1,0,0,1,0,1,1,1,0,1,0,2017-31116496,2016,District of Columbia,8,4,10,2
50-64,.84361511,0,0,0,1,1,0,1,1,1,0,1,0,2017-31116496,2016,California,8,4,10,2
65+,1.0113634,0,1,0,0,1,0,1,0,0,0,1,0,2017-31116496,2016,West Virginia,8,4,10,2
65+,.60449988,1,0,0,1,1,0,1,0,0,0,1,0,2017-31116496,2016,Pennsylvania,8,4,10,2
50-64,.91637629,0,1,0,0,1,0,1,1,0,1,0,0,2017-31116496,2016,Texas,8,4,10,2
50-64,1.0145458,0,1,0,1,1,0,1,1,0,1,0,0,2017-31116496,2016,Kentucky,8,4,10,2
50-64,.62731665,0,1,0,1,1,0,1,0,0,1,0,0,2017-31116496,2016,Texas,8,4,10,2
50-64,.51534343,1,0,0,1,1,0,1,1,1,0,0,1,2017-31116496,2016,New York,8,4,10,2
65+,.34277147,0,0,0,0,1,0,1,1,1,0,0,1,2017-31116496,2016,Arizona,8,4,10,2
50-64,.47505835,0,0,0,1,1,0,1,1,1,0,1,0,2017-31116496,2016,Washington,8,4,10,2
65+,1.0904375,1,0,0,0,1,0,1,0,0,0,0,1,2017-31116496,2016,Connecticut,8,4,10,2
65+,.20393097,0,1,0,0,1,0,1,1,1,.a,.a,.a,2017-31116496,2016,Louisiana,8,4,10,2
30-49,.49592894,0,0,1,0,1,0,1,1,0,0,1,0,2017-31116496,2016,Ohio,8,4,10,2
30-49,.89150679,0,1,0,1,0,1,1,1,1,0,1,0,2017-31116496,2016,North Carolina,8,4,10,2
50-64,.24142189,0,1,0,1,1,0,1,1,1,0,1,0,2017-31116496,2016,Oklahoma,8,4,10,2
50-64,.51603174,0,1,0,0,1,0,1,0,0,1,0,0,2017-31116496,2016,Florida,8,4,10,2
50-64,2.4828634,0,0,1,0,1,0,1,0,0,0,1,0,2017-31116496,2016,Ohio,8,4,10,2
30-49,2.6710157,0,1,0,1,1,0,1,0,0,0,0,1,2017-31116496,2016,Mississippi,8,4,10,2
30-49,.40322939,0,0,1,1,1,0,1,1,1,0,1,0,2017-31116496,2016,Wisconsin,8,4,10,2
50-64,.30617782,1,0,0,1,1,0,1,1,0,0,0,1,2017-31116496,2016,Pennsylvania,8,4,10,2
65+,.21658158,0,1,0,1,1,0,1,1,1,0,1,0,2017-31116496,2016,Kentucky,8,4,10,2
18-29,.81655014,0,1,0,1,0,1,1,1,1,1,0,0,2017-31116496,2016,North Carolina,8,4,10,2
50-64,1.00765,0,1,0,1,1,0,1,1,1,0,0,0,2017-31116496,2016,Texas,8,4,10,2
